Symbol,Date,Time,Open,High,Low,Close
MNQ2022Z,06/12/2022,2108,11582.75,11584.25,11582,11583.75
MNQ2022Z,06/12/2022,2109,11583,11585.25,11582.25,11583.75
MNQ2022Z,06/12/2022,2110,11584,11585.5,11583.5,11583.75
MNQ2022Z,06/12/2022,2111,11583.25,11584.75,11583.25,11584
MNQ2022Z,06/12/2022,2112,11584.25,11586,11584,11584.5
MNQ2022Z,06/12/2022,2113,11584.75,11584.75,11583.5,11584.75
MNQ2022Z,06/12/2022,2114,11585,11585.75,11583.25,11583.25
MNQ2022Z,06/12/2022,2115,11583.25,11583.5,11582.5,11583
MNQ2022Z,06/12/2022,2116,11583,11585.25,11582,11585
MNQ2022Z,06/12/2022,2117,11584.75,11586,11584.75,11585.25
MNQ2022Z,06/12/2022,2118,11585.75,11586.75,11584.5,11585.25
MNQ2022Z,06/12/2022,2119,11585.25,11585.5,11583.5,11584
MNQ2022Z,06/12/2022,2120,11584.25,11588,11583.5,11586.75
